marca,modelo,ano,km,valor_compra,data_compra,custos_extras,valor_venda,data_venda,observacoes
VW,Polo Track 1.0,2024,80000,52200,2025-11-13,4735,69400,2026-03-31,Caio - compra Auto Avaliar - vendeu na FIPE cheia (227d patio)
Nissan,March 1.6 SV,2016,,26749,,,,,Sociedade Caio+Reinaldo - trocado pela Versa
VW,Versa 1.6,2020,,45820,,,59800,,Resultado da troca March - no patio (50/50 Caio+Reinaldo)
Ford,Focus Sedan Titanium Plus,2024,,56309,2026-03-01,,64900,,Reinaldo consig - no patio
BMW,750i M Sport V8,2015,,114890,2026-03-01,,188000,,Reinaldo consig - no patio (alvo agressivo)
Ford,Focus Sedan 2.0 SE,2018,,49000,2026-03-15,,62000,,Reinaldo consig - trocando oleo/filtros
Chevrolet,Onix Sedan Premier 1.0 Turbo,2023,,63999,2026-03-01,,86900,,Caio+Reinaldo consig - no patio
Jeep,Renegade Longitude 1.8,2021,,64749,2026-03-01,,84900,,Caio+Reinaldo consig - no patio
Jeep,Renegade Sport 1.3 T270,2022,,74990,2026-03-15,,99800,,Reinaldo consig - aguardando liberacao p/transporte
Chevrolet,Spin Premier 1.8,2020,,49400,2026-03-15,,70900,,Reinaldo consig - aguardando liberacao p/transporte
Land Rover,Freelander S 2.0 Diesel,2012,,31000,2026-02-01,,53000,,Reinaldo consig - no patio (snapshot anterior - lento)
Chevrolet,Spin Activ 7,2020,,67000,2026-02-01,,79900,2026-03-31,Reinaldo - vendido entre snapshots (foto 5 -> foto 3 saiu)
Fiat,Toro Endurance 1.8 Flex Aut,2020,,76000,2026-02-01,,89000,2026-03-31,Reinaldo - vendido entre snapshots (foto 5 -> foto 3 saiu)
Chevrolet,Cruze LT Prata,2015,,69000,2026-04-08,,78745,2026-04-16,Reinaldo historico - 8 dias patio - lucro R$9745
VW,Gol G6 1.0,2014,,24500,2026-03-25,,30818,2026-04-16,Reinaldo historico - 22 dias patio - lucro R$6318
Jeep,Renegade,2023,,88000,2026-04-13,,96890,2026-04-16,Reinaldo historico - 3 dias patio (giro relampago) - lucro R$8890
JAC,J5I,2023,,86186,2026-03-10,,97958,2026-04-16,Reinaldo historico - 37 dias patio - lucro R$11772
Mitsubishi,Pajero Full 3.2 Diesel,2012,,86000,2026-01-04,,101663,2026-04-16,Reinaldo historico - 102 dias patio - lucro R$15663
Jeep,Renegade Sport,2021,,82000,2026-01-12,,97623,2026-04-16,Reinaldo historico - 94 dias patio - lucro R$15623
Fiat,Toro Flex,2020,,61500,2026-01-01,,73743,2026-04-16,Reinaldo historico - 106 dias patio - lucro R$12243
Nissan,Frontier,2014,,76000,2026-03-18,,81395,2026-04-16,Reinaldo historico - 29 dias patio - lucro R$5395
VW,Virtus,2018,,65265,2025-11-06,,73954,2026-04-16,Reinaldo historico - 161 dias patio - lucro R$8689
Chevrolet,Prisma LT,2015,,37000,2026-03-17,,44350,2026-04-16,Reinaldo historico - 30 dias patio - lucro R$7350
Chevrolet,Cruze Sedan,2017,,66402,2026-03-16,,71493,2026-04-16,Reinaldo historico - 31 dias patio - lucro R$5091
Chevrolet,Cobalt LTZ 1.8,2015,,56900,2026-01-13,,61667,2026-04-16,Reinaldo historico - 93 dias patio - lucro R$4767
Ford,Ka Sedan 1.5,2017,,28200,2025-10-13,,42062,2026-04-16,Reinaldo historico - 185 dias patio - lucro R$13862
Honda,Biz,2018,,10500,2026-03-07,,17726,2026-04-16,Reinaldo historico - 40 dias patio (moto) - lucro R$7226
Renault,Sandero Life,2017,,26870,2026-01-01,,33112,2026-04-16,Reinaldo historico - 106 dias patio - lucro R$6242
Renault,Logan Life,2017,,28200,2025-12-22,,35598,2026-04-16,Reinaldo historico - 116 dias patio - lucro R$7398
Chevrolet,Onix Joy 1.0,2018,,35000,2025-07-13,,41510,2026-04-16,Reinaldo historico - 278 dias patio (giro lento) - lucro R$6510
VW,Voyage 1.6,2013,,29000,2025-06-08,,33259,2026-04-16,Reinaldo historico - 313 dias patio (mais lento) - lucro R$4259
Chevrolet,Spin Activ,2020,,67000,2025-11-29,,71512,2026-04-16,Reinaldo historico - 139 dias patio - lucro R$4512
